video_id,titles,episode,upload_date_raw,duration_seconds,view_count,like_count,comment_count,url,upload_date,episode_num,trip_number,trip
pB-AoylTecw,haha_family,15,20250920,17385,9619514,66587,4300,https://www.youtube.com/watch?v=pB-AoylTecw,9/20/2025,15,4,Dak_Lak
YqJ1QAcu6cY,haha_family,14,20250913,13679,5497214,56339,3000,https://www.youtube.com/watch?v=YqJ1QAcu6cY,9/13/2025,14,4,Dak_Lak
WvaESMkCEXA,haha_family,13,20250906,11560,5678065,36489,2400,https://www.youtube.com/watch?v=WvaESMkCEXA,9/6/2025,13,4,Dak_Lak
uET4fOlrwRw,haha_family,12,20250830,10896,6151025,49423,3700,https://www.youtube.com/watch?v=uET4fOlrwRw,8/30/2025,12,4,Dak_Lak
2Mv3GJygGPw,haha_family,11,20250823,13843,5443588,72646,4900,https://www.youtube.com/watch?v=2Mv3GJygGPw,8/23/2025,11,3,Ben_Tre
4aKkzzR6ifE,haha_family,10,20250816,10869,5527557,49602,3500,https://www.youtube.com/watch?v=4aKkzzR6ifE,8/16/2025,10,3,Ben_Tre
8m7GugS6Wq8,haha_family,9,20250809,10866,6106609,49744,2100,https://www.youtube.com/watch?v=8m7GugS6Wq8,8/9/2025,9,3,Ben_Tre
zLpDAmStB6k,haha_family,8,20250802,12260,6780299,69142,3700,https://www.youtube.com/watch?v=zLpDAmStB6k,8/2/2025,8,3,Ben_Tre
vM-Bi5edTaU,haha_family,7,20250726,10270,5089103,61374,3600,https://www.youtube.com/watch?v=vM-Bi5edTaU,7/26/2025,7,2,Sa_Huynh
fMAQbWv2h2k,haha_family,6,20250719,9862,5968638,59604,2600,https://www.youtube.com/watch?v=fMAQbWv2h2k,7/19/2025,6,2,Sa_Huynh
C3cbZoylmdg,haha_family,5,20250712,8031,5977604,61478,3200,https://www.youtube.com/watch?v=C3cbZoylmdg,7/12/2025,5,2,Sa_Huynh
AnW4-IJdPhA,haha_family,4,20250705,12193,7237539,110771,7900,https://www.youtube.com/watch?v=AnW4-IJdPhA,7/5/2025,4,1,Ban_Lien
bbmQPLpDbsA,haha_family,3,20250628,5588,5548419,60722,3400,https://www.youtube.com/watch?v=bbmQPLpDbsA,6/28/2025,3,1,Ban_Lien
FAScAwxDO3I,haha_family,2+,20250627,8459,6456882,68450,4200,https://www.youtube.com/watch?v=FAScAwxDO3I,6/27/2025,2,1,Ban_Lien
nUMkcSkL6ak,haha_family,2,20250621,6666,6479398,71124,5700,https://www.youtube.com/watch?v=nUMkcSkL6ak,6/21/2025,2,1,Ban_Lien
UdTkDQipaWo,haha_family,1+,20250620,6773,7030307,74413,6100,https://www.youtube.com/watch?v=UdTkDQipaWo,6/20/2025,1,1,Ban_Lien
C3IsbH9A750,haha_family,1,20250614,6961,8073425,102439,8100,https://www.youtube.com/watch?v=C3IsbH9A750,6/14/2025,1,1,Ban_Lien
Xu_LajP3WgE,mini_stories,16,20251014,1991,722802,11338,338,https://www.youtube.com/watch?v=Xu_LajP3WgE,10/14/2025,16,3,Ben_Tre
IJNjxwUOVkQ,mini_stories,15,20250930,5182,380287,4144,159,https://www.youtube.com/watch?v=IJNjxwUOVkQ,9/30/2025,15,4,Dak_Lak
40wisZf8jAg,mini_stories,14,20250923,3681,439206,5004,108,https://www.youtube.com/watch?v=40wisZf8jAg,9/23/2025,14,4,Dak_Lak
9v5YHXWRGug,mini_stories,13,20250916,4050,575843,5407,232,https://www.youtube.com/watch?v=9v5YHXWRGug,9/16/2025,13,4,Dak_Lak
TlvigQNLvrU,mini_stories,12,20250909,3218,499701,5071,256,https://www.youtube.com/watch?v=TlvigQNLvrU,9/9/2025,12,4,Dak_Lak
yV9C0enIliA,mini_stories,11,20250902,4931,784309,7301,366,https://www.youtube.com/watch?v=yV9C0enIliA,9/2/2025,11,4,Dak_Lak
A7O573siD6M,mini_stories,10,20250826,3806,827927,12075,418,https://www.youtube.com/watch?v=A7O573siD6M,8/26/2025,10,3,Ben_Tre
Z1dR2y2XcN0,mini_stories,9,20250819,4207,800949,9192,413,https://www.youtube.com/watch?v=Z1dR2y2XcN0,8/19/2025,9,3,Ben_Tre
JP7hFmlvrVE,mini_stories,8,20250812,4669,892153,8551,107,https://www.youtube.com/watch?v=JP7hFmlvrVE,8/12/2025,8,3,Ben_Tre
Io7Ds_UvGzw,mini_stories,7,20250805,2847,747727,8098,324,https://www.youtube.com/watch?v=Io7Ds_UvGzw,8/5/2025,7,3,Ben_Tre
Zl82Gmhp6lM,mini_stories,6,20250729,3838,904172,9785,318,https://www.youtube.com/watch?v=Zl82Gmhp6lM,7/29/2025,6,2,Sa_Huynh
643o9TCk-0s,mini_stories,5,20250722,3943,1335865,14353,594,https://www.youtube.com/watch?v=643o9TCk-0s,7/22/2025,5,2,Sa_Huynh
85m9_e3JWYw,mini_stories,4,20250715,2017,650100,6235,206,https://www.youtube.com/watch?v=85m9_e3JWYw,7/15/2025,4,2,Sa_Huynh
LBiZymfNOQ,mini_stories,3,20250708,4895,924814,11436,352,https://www.youtube.com/watch?v=-LBiZymfNOQ,7/8/2025,3,1,Ban_Lien
mzpSjUWv_Jc,mini_stories,2,20250701,2179,620237,7079,243,https://www.youtube.com/watch?v=mzpSjUWv_Jc,7/1/2025,2,1,Ban_Lien
lVhEbqFpSFc,mini_stories,1,20250624,5462,1279386,15682,610,https://www.youtube.com/watch?v=lVhEbqFpSFc,6/24/2025,1,1,Ban_Lien
